id,lesson_number,volume,type,korean,french,grammar_explanation,grammar_form_note,example_sentence,sort_order
394,11,1,vocabulary,그날,ce jour-là,,,,28
395,11,1,vocabulary,정말 잘됐네요,c'est parfait / tant mieux,,,,29
396,11,1,expression,~고 싶어요,je veux / j'aimerais ~,,,,1
397,11,1,expression,미안해요. 다른 약속이 있어요,"désolé(e), j'ai un autre rendez-vous",,,,2
398,11,1,expression,다음에 꼭 같이 가요,on ira ensemble la prochaine fois,,,,3
399,11,1,expression,몇 시에 만날까요?,à quelle heure se retrouve-t-on ?,,,,4
400,11,1,expression,어디에서 만날까요?,où se retrouve-t-on ?,,,,5
401,11,1,grammar,-고 싶다,Exprime le désir ou le souhait du locuteur (= vouloir ~),Exprime le désir ou le souhait du locuteur (= vouloir ~),-고 싶어 하다 quand le sujet n'est pas la 1ère personne,제주도로 여행을 가고 싶어요 (Je veux voyager à Jeju),1
402,11,1,grammar,-을까요?/-ㄹ까요?,Demande l'avis ou la suggestion de l'interlocuteur (= est-ce qu'on ~ ? / je dois ~ ?),Demande l'avis ou la suggestion de l'interlocuteur (= est-ce qu'on ~ ? / je dois ~ ?),"-을까요 après consonne, -ㄹ까요 après voyelle ou ㄹ",우리 여기에서 사진을 찍을까요? (Et si on prenait des photos ici ?) / 제가 예약할까요? (Dois-je faire une réservation ?),2
403,12,1,vocabulary,봄,printemps,,,,1
404,12,1,vocabulary,여름,été,,,,2
405,12,1,vocabulary,가을,automne,,,,3
406,12,1,vocabulary,겨울,hiver,,,,4
407,12,1,vocabulary,맑다,être clair / ensoleillé,,,,5
408,12,1,vocabulary,흐리다,être nuageux,,,,6
409,12,1,vocabulary,비가 오다,pleuvoir,,,,7
410,12,1,vocabulary,눈이 오다,neiger,,,,8
411,12,1,vocabulary,바람이 불다,le vent souffle,,,,9
412,12,1,vocabulary,덥다,avoir chaud,,,,10
413,12,1,vocabulary,춥다,avoir froid,,,,11
414,12,1,vocabulary,따뜻하다,être chaud / doux,,,,12
415,12,1,vocabulary,쌀쌀하다,être frais / frisquet,,,,13
416,12,1,vocabulary,장마,saison des pluies,,,,14
417,12,1,vocabulary,태풍,typhon,,,,15
418,12,1,vocabulary,겨울옷,vêtements d'hiver,,,,16
419,12,1,vocabulary,선글라스,lunettes de soleil,,,,17
420,12,1,vocabulary,모자,chapeau / casquette,,,,18
421,12,1,vocabulary,우산,parapluie,,,,19
422,12,1,vocabulary,선크림,crème solaire,,,,20
423,12,1,vocabulary,그동안,entre-temps / pendant ce temps,,,,21
424,12,1,vocabulary,실력,niveau / compétence,,,,22
425,12,1,vocabulary,출장,voyage d'affaires,,,,23
426,12,1,vocabulary,가지고 가다,emporter / apporter,,,,24
427,12,1,vocabulary,서핑하다,surfer,,,,25
428,12,1,vocabulary,팔빙수,patbingsu (dessert glacé coréen),,,,26
429,12,1,expression,날씨가 어때요?,quel temps fait-il ?,,,,1
430,12,1,expression,~고 눈도 많이 올 거예요,il fera ~ et il neigera beaucoup,,,,2
431,12,1,expression,~를 가지고 가세요,emportez ~,,,,3
432,12,1,expression,아마 ~을 거예요,probablement / il va certainement ~,,,,4
433,12,1,grammar,-고 (coordination),"Relie deux propositions de façon équivalente (= et), liste des actions/états","Relie deux propositions de façon équivalente (= et), liste des actions/états",S'utilise avec toutes terminaisons. Pour le passé possible avec -았/었-고,바람이 많이 불고 추워요 (Il y a beaucoup de vent et il fait froid),1
434,12,1,grammar,-을 거예요/-ㄹ 거예요 (2),Exprime une déduction ou probabilité basée sur l'expérience passée,Exprime une déduction ou probabilité basée sur l'expérience passée,Même forme que (1) mais sens différent : supposition vs plan,내일도 비가 올 거예요 (Il pleuvra probablement demain aussi),2
435,13,1,vocabulary,빨간색,rouge,,,,1
436,13,1,vocabulary,파란색,bleu,,,,2
437,13,1,vocabulary,노란색,jaune,,,,3
438,13,1,vocabulary,초록색/녹색,vert,,,,4
439,13,1,vocabulary,까만색,noir,,,,5
440,13,1,vocabulary,하얀색,blanc,,,,6
441,13,1,vocabulary,분홍색,rose,,,,7
442,13,1,vocabulary,회색,gris,,,,8
443,13,1,vocabulary,보라색,violet,,,,9
444,13,1,vocabulary,하늘색,bleu ciel,,,,10
445,13,1,vocabulary,바지,pantalon,,,,11
446,13,1,vocabulary,치마,jupe,,,,12
447,13,1,vocabulary,원피스,robe,,,,13
448,13,1,vocabulary,티셔츠,t-shirt,,,,14
449,13,1,vocabulary,코트,manteau,,,,15
450,13,1,vocabulary,점퍼,veste,,,,16
451,13,1,vocabulary,운동화,baskets,,,,17
452,13,1,vocabulary,구두,chaussures habillées,,,,18
453,13,1,vocabulary,장갑,gants,,,,19
454,13,1,vocabulary,목도리,cache-nez / écharpe,,,,20
455,13,1,vocabulary,양말,chaussettes,,,,21
456,13,1,vocabulary,안경,lunettes,,,,22
457,13,1,vocabulary,핸드백,sac à main,,,,23
458,13,1,vocabulary,배낭,sac à dos,,,,24
459,13,1,vocabulary,청바지,jean,,,,25
460,13,1,vocabulary,정장,costume / tenue formelle,,,,26
461,13,1,vocabulary,수영복,maillot de bain,,,,27
462,13,1,vocabulary,입다,porter (vêtement),,,,28
463,13,1,vocabulary,신다,porter (chaussures),,,,29
464,13,1,vocabulary,쓰다,porter (chapeau/lunettes),,,,30
465,13,1,vocabulary,끼다,porter (gants),,,,31
466,13,1,vocabulary,인기가 많다,être populaire,,,,32
467,13,1,vocabulary,어울리다,aller bien / être assorti,,,,33
468,13,1,vocabulary,포장해 주세요,emballez-le/la s'il vous plaît,,,,34
469,13,1,expression,무슨 색 ~를 찾으세요?,quelle couleur de ~ cherchez-vous ?,,,,1
470,13,1,expression,~한테/께 선물할 거예요,je vais offrir un cadeau à ~,,,,2
471,13,1,expression,이걸로 할게요,je prends celui-ci/celle-ci,,,,3
472,13,1,expression,뭘 찾으세요?,que recherchez-vous ?,,,,4
473,13,1,expression,~에게 선물로 주다,offrir comme cadeau à ~,,,,5
474,13,1,grammar,"한테, 한테(서)",한테 : indique la cible de l'action du sujet (= à). 한테서 : indique la source (= de la part de),한테 : indique la cible de l'action du sujet (= à). 한테서 : indique la source (= de la part de),"Pour les supérieurs : 께 à la place de 한테, 한테서. Pour offrir à un supérieur : 드리다 à la place de 주다",친구한테 선물을 줬어요 (J'ai offert un cadeau à mon ami) / 선생님께 꽃을 드렸어요 (J'ai offert des fleurs au professeur),1
475,13,1,grammar,-지만,Exprime un contraste entre deux propositions (= mais),Exprime un contraste entre deux propositions (= mais),S'utilise avec tous les verbes et adjectifs quelle que soit la terminaison,예쁘지만 좀 불편해요 (C'est joli mais un peu inconfortable),2
476,14,1,vocabulary,머리가 아프다,avoir mal à la tête,,,,1
477,14,1,vocabulary,배가 아프다,avoir mal au ventre,,,,2
478,14,1,vocabulary,목이 아프다,avoir mal à la gorge,,,,3
479,14,1,vocabulary,허리가 아프다,avoir mal au dos,,,,4
480,14,1,vocabulary,다리가 아프다,avoir mal à la jambe,,,,5
481,14,1,vocabulary,이가 아프다,avoir mal aux dents,,,,6
482,14,1,vocabulary,기침이 나다,tousser,,,,7
483,14,1,vocabulary,열이 나다,avoir de la fièvre,,,,8
484,14,1,vocabulary,콧물이 나다,avoir le nez qui coule,,,,9
485,14,1,vocabulary,눈물이 나다,avoir les yeux qui pleurent,,,,10
486,14,1,vocabulary,배탈이 나다,avoir une intoxication alimentaire,,,,11
487,14,1,vocabulary,눈병이 나다,avoir une infection oculaire,,,,12
488,14,1,vocabulary,감기에 걸리다,attraper un rhume,,,,13
489,14,1,vocabulary,이사를 하다,déménager,,,,14
490,14,1,vocabulary,모임,réunion / rassemblement,,,,15
491,14,1,vocabulary,대회에 나가다,participer à un concours,,,,16
492,14,1,vocabulary,공연을 하다,faire un spectacle,,,,17
493,14,1,vocabulary,불꽃 축제,festival de feux d'artifice,,,,18
494,14,1,vocabulary,말하기 대회,concours d'expression orale,,,,19
495,14,1,vocabulary,피곤하다,être fatigué(e),,,,20
496,14,1,vocabulary,늦다,être en retard,,,,21
497,14,1,vocabulary,지각하다,être en retard à l'école/travail,,,,22
498,14,1,vocabulary,잃어버리다,perdre,,,,23
499,14,1,vocabulary,고장나다,être en panne,,,,24
500,14,1,expression,왜 ~ 못 했어요?,pourquoi n'avez-vous pas pu ~ ?,,,,1
501,14,1,expression,~아서/어서 못 ~했어요,j'ai ~ alors je n'ai pas pu ~,,,,2
502,14,1,expression,어떡하죠?,que dois-je faire ? / c'est embêtant,,,,3
503,14,1,expression,약속 날짜를 바꿀까요?,devrions-nous changer la date ?,,,,4
504,14,1,expression,~에서 뭐 사 왔어요?,qu'avez-vous acheté en ~?,,,,5
505,14,1,grammar,-아서/-어서/-여서 (1),Exprime la cause ou la raison de la proposition suivante,Exprime la cause ou la raison de la proposition suivante,Ne s'utilise pas avec les marqueurs de temps (-았/었-). Pas d'impératif ou suggestif dans la proposition suivante,날씨가 좋아서 산책하러 가요 (Il fait beau alors je vais me promener) / 피곤해서 일찍 잤어요 (J'étais fatigué alors je me suis couché tôt),1
506,14,1,grammar,못,Exprime l'incapacité due à des facteurs externes ou un manque de compétence,Exprime l'incapacité due à des facteurs externes ou un manque de compétence,못 devant le verbe. Pour 명사+하다 : 명사+못+하다,약속이 있어서 못 가요 (J'ai un rendez-vous donc je ne peux pas y aller) / 다리를 다쳐서 운동을 못 해요 (Je me suis blessé à la jambe donc je ne peux pas faire de sport),2
